sequence,class
"[(0.0, 'calories_1', 18540.0), (18600.0, 'calories_1', 12360.0), (31020.0, 'calories_1', 12360.0), (43440.0, 'calories_1', 28560.0)]",2
"[(0.0, 'calories_1', 34680.0), (0.0, 'bpm_1', 25680.0), (840.0, 'rem', 660.0), (1020.0, 'distance_1', 23940.0), (1020.0, 'steps_1', 23940.0), (1140.0, 'bpm_2', 15060.0), (1500.0, 'calories_2', 19500.0), (1500.0, 'wake', 360.0), (1860.0, 'light', 1890.0), (3060.0, 'bpm_3', 10380.0), (3750.0, 'deep', 510.0), (4260.0, 'light', 360.0), (4620.0, 'wake', 570.0), (5190.0, 'light', 60.0), (5250.0, 'rem', 1080.0), (6330.0, 'light', 3360.0), (9690.0, 'rem', 1230.0), (10920.0, 'light', 690.0), (11610.0, 'rem', 660.0), (12270.0, 'light', 3930.0), (13380.0, 'bpm_4', 39840.0), (16200.0, 'wake', 1140.0), (16380.0, 'bpm_2', 22800.0), (16920.0, 'calories_3', 120.0), (17340.0, 'light', 510.0), (17850.0, 'deep', 1080.0), (18930.0, 'light', 630.0), (19560.0, 'rem', 1140.0), (20220.0, 'bpm_3', 14040.0), (20700.0, 'light', 240.0), (20940.0, 'wake', 300.0), (21240.0, 'light', 2250.0), (21660.0, 'distance_2', 21300.0), (21660.0, 'steps_2', 21300.0), (23490.0, 'wake', 510.0), (24000.0, 'light', 840.0), (25020.0, 'calories_2', 28560.0), (25020.0, 'distance_1', 26100.0), (25020.0, 'steps_1', 26100.0), (25260.0, 'calories_3', 9120.0), (31740.0, 'bpm_1', 15180.0), (34740.0, 'calories_1', 37200.0), (36720.0, 'calories_3', 15720.0), (40440.0, 'bpm_3', 13200.0), (44220.0, 'bpm_2', 27540.0), (47400.0, 'distance_2', 20280.0), (47400.0, 'steps_2', 20280.0), (51960.0, 'bpm_1', 9120.0), (52740.0, 'calories_3', 18900.0), (52920.0, 'distance_1', 19080.0), (52920.0, 'steps_1', 19080.0), (53700.0, 'calories_2', 18300.0), (53700.0, 'bpm_4', 18300.0), (54631.0, 'Walk', 922000.0), (61020.0, 'bpm_3', 10800.0), (61561.0, 'Run', 4315000.0)]",2
"[(0.0, 'calories_1', 28440.0), (0.0, 'bpm_2', 8940.0), (450.0, 'wake', 330.0), (540.0, 'distance_1', 25980.0), (540.0, 'steps_1', 26280.0), (600.0, 'calories_2', 25800.0), (780.0, 'light', 1170.0), (960.0, 'bpm_1', 24120.0), (1200.0, 'bpm_3', 15060.0), (1950.0, 'deep', 270.0), (2220.0, 'light', 2400.0), (4620.0, 'rem', 1230.0), (5850.0, 'light', 2160.0), (8010.0, 'deep', 330.0), (8340.0, 'light', 960.0), (9300.0, 'rem', 1110.0), (10410.0, 'light', 600.0), (11010.0, 'rem', 300.0), (11310.0, 'light', 930.0), (12240.0, 'rem', 480.0), (12720.0, 'light', 3450.0), (13020.0, 'bpm_2', 8880.0), (16170.0, 'rem', 2670.0), (18840.0, 'light', 3330.0), (21960.0, 'bpm_4', 21660.0), (22170.0, 'SleepScore', 75.0), (22260.0, 'distance_2', 20040.0), (22260.0, 'steps_2', 20040.0), (23220.0, 'bpm_3', 13200.0), (25440.0, 'calories_3', 22560.0), (26760.0, 'calories_2', 40500.0), (26820.0, 'distance_1', 45180.0), (27000.0, 'steps_1', 45000.0), (28140.0, 'bpm_2', 9720.0), (30240.0, 'bpm_1', 12300.0), (30900.0, 'calories_1', 24420.0), (37260.0, 'bpm_3', 14640.0), (44160.0, 'bpm_4', 13080.0), (45540.0, 'distance_2', 22980.0), (45540.0, 'steps_2', 22980.0), (49020.0, 'calories_3', 22980.0), (50760.0, 'bpm_1', 17640.0), (53520.0, 'bpm_3', 18480.0), (53760.0, 'bpm_2', 17940.0), (54863.0, 'Walk', 1280000.0), (56880.0, 'calories_1', 9900.0), (57360.0, 'bpm_4', 11220.0), (64643.0, 'Sport', 1792000.0), (66794.0, 'Walk', 1433000.0)]",1
"[(0.0, 'calories_1', 23220.0), (0.0, 'bpm_1', 11700.0), (240.0, 'distance_1', 18060.0), (240.0, 'steps_1', 18060.0), (420.0, 'bpm_2', 20880.0), (1710.0, 'light', 240.0), (1950.0, 'rem', 1830.0), (3780.0, 'light', 4140.0), (3840.0, 'calories_2', 14760.0), (7920.0, 'rem', 1890.0), (9810.0, 'light', 3480.0), (10020.0, 'bpm_3', 10140.0), (10980.0, 'bpm_4', 4020.0), (11760.0, 'bpm_1', 11700.0), (13290.0, 'rem', 840.0), (14130.0, 'light', 330.0), (14460.0, 'wake', 480.0), (14580.0, 'calories_3', 60.0), (14940.0, 'deep', 270.0), (15210.0, 'light', 480.0), (15690.0, 'deep', 870.0), (16560.0, 'light', 630.0), (17190.0, 'wake', 1110.0), (18300.0, 'light', 120.0), (18420.0, 'wake', 420.0), (18840.0, 'light', 300.0), (19140.0, 'rem', 360.0), (19320.0, 'distance_1', 19740.0), (19320.0, 'steps_1', 19740.0), (19500.0, 'light', 30.0), (19530.0, 'wake', 270.0), (19800.0, 'light', 2130.0), (21900.0, 'calories_2', 21120.0), (21930.0, 'wake', 1110.0), (23040.0, 'light', 120.0), (23160.0, 'wake', 270.0), (23280.0, 'calories_1', 18420.0), (23430.0, 'rem', 330.0), (23460.0, 'distance_2', 8940.0), (23520.0, 'bpm_2', 14580.0), (23580.0, 'steps_2', 8820.0), (23580.0, 'bpm_3', 16680.0), (23640.0, 'bpm_4', 8760.0), (23760.0, 'wake', 510.0), (24270.0, 'light', 240.0), (24510.0, 'wake', 480.0), (24990.0, 'light', 1560.0), (26321.0, 'Walk', 921000.0), (26550.0, 'rem', 330.0), (26880.0, 'light', 60.0), (26940.0, 'SleepScore', 72.0), (27000.0, 'calories_3', 10680.0), (28620.0, 'bpm_1', 5820.0), (37560.0, 'bpm_4', 13320.0), (38280.0, 'calories_3', 14820.0), (38400.0, 'distance_2', 5220.0), (38400.0, 'steps_2', 5220.0), (39360.0, 'distance_1', 16500.0), (39360.0, 'steps_1', 16500.0), (41700.0, 'bpm_1', 8220.0), (43800.0, 'bpm_3', 11640.0), (44040.0, 'calories_2', 14640.0), (45420.0, 'bpm_2', 8460.0), (47640.0, 'calories_1', 21060.0), (50700.0, 'distance_2', 17100.0), (50700.0, 'steps_2', 17100.0), (52560.0, 'bpm_4', 18660.0), (54240.0, 'calories_3', 17640.0), (55320.0, 'bpm_1', 12360.0), (56019.0, 'Run', 3789000.0), (58980.0, 'distance_1', 13020.0), (58980.0, 'steps_1', 13020.0), (61860.0, 'bpm_3', 10140.0), (62040.0, 'bpm_2', 60.0), (65580.0, 'calories_2', 6420.0)]",0
"[(0.0, 'calories_1', 37440.0), (0.0, 'bpm_1', 7620.0), (300.0, 'calories_2', 16920.0), (780.0, 'bpm_2', 18660.0), (1740.0, 'bpm_3', 14400.0), (1800.0, 'distance_1', 16080.0), (1800.0, 'steps_1', 16080.0), (1980.0, 'calories_3', 300.0), (2100.0, 'bpm_4', 0.0), (2460.0, 'wake', 30.0), (2490.0, 'light', 1020.0), (3510.0, 'deep', 1380.0), (4890.0, 'light', 30.0), (4920.0, 'rem', 1110.0), (6030.0, 'light', 30.0), (6060.0, 'wake', 210.0), (6270.0, 'light', 4920.0), (9300.0, 'bpm_1', 13560.0), (11190.0, 'rem', 2340.0), (13530.0, 'light', 1710.0), (15240.0, 'deep', 720.0), (15960.0, 'wake', 420.0), (16320.0, 'calories_3', 0.0), (16380.0, 'light', 150.0), (16530.0, 'rem', 300.0), (16830.0, 'wake', 540.0), (17370.0, 'light', 2010.0), (19380.0, 'rem', 330.0), (19710.0, 'wake', 690.0), (20220.0, 'bpm_2', 22200.0), (20400.0, 'rem', 360.0), (20580.0, 'distance_1', 22380.0), (20580.0, 'steps_1', 22380.0), (20760.0, 'light', 180.0), (20940.0, 'SleepScore', 67.0), (21480.0, 'calories_2', 24420.0), (21780.0, 'bpm_3', 19320.0), (23040.0, 'distance_2', 12780.0), (23040.0, 'steps_2', 12780.0), (23040.0, 'bpm_4', 11460.0), (25080.0, 'bpm_1', 15600.0), (25860.0, 'calories_3', 13620.0), (28449.0, 'Walk', 1331000.0), (37680.0, 'distance_2', 12000.0), (37680.0, 'steps_2', 15900.0), (38520.0, 'bpm_4', 14700.0), (38580.0, 'calories_1', 33300.0), (41100.0, 'calories_3', 16260.0), (42480.0, 'bpm_3', 14640.0), (43144.0, 'Walk', 6144000.0), (46560.0, 'bpm_1', 25440.0), (49320.0, 'distance_1', 22620.0), (49320.0, 'steps_1', 22620.0), (50220.0, 'bpm_2', 21420.0), (53340.0, 'calories_2', 18660.0), (53580.0, 'distance_2', 8880.0), (57120.0, 'steps_2', 10740.0), (59880.0, 'bpm_3', 12060.0), (60480.0, 'calories_3', 11040.0), (65820.0, 'distance_2', 3000.0), (65940.0, 'bpm_4', 1980.0)]",3
"[(0.0, 'calories_1', 16740.0), (0.0, 'distance_1', 16800.0), (0.0, 'steps_1', 16800.0), (0.0, 'bpm_4', 120.0), (180.0, 'bpm_3', 1260.0), (240.0, 'bpm_1', 11520.0), (360.0, 'calories_3', 3360.0), (420.0, 'calories_2', 5220.0), (840.0, 'bpm_2', 20040.0), (3840.0, 'wake', 30.0), (3870.0, 'light', 1140.0), (5010.0, 'wake', 390.0), (5400.0, 'light', 570.0), (5970.0, 'deep', 1020.0), (6990.0, 'light', 690.0), (7680.0, 'deep', 1950.0), (9630.0, 'rem', 660.0), (10290.0, 'light', 780.0), (11070.0, 'wake', 210.0), (11100.0, 'calories_2', 15720.0), (11280.0, 'bpm_3', 0.0), (11280.0, 'light', 810.0), (11820.0, 'bpm_1', 8340.0), (12090.0, 'deep', 660.0), (12750.0, 'light', 1260.0), (14010.0, 'rem', 1350.0), (15360.0, 'light', 2790.0), (16800.0, 'calories_1', 16140.0), (18150.0, 'deep', 960.0), (19110.0, 'light', 150.0), (19260.0, 'rem', 960.0), (20220.0, 'bpm_1', 8460.0), (20220.0, 'wake', 300.0), (20520.0, 'light', 2730.0), (22140.0, 'distance_1', 28380.0), (22140.0, 'steps_1', 28380.0), (23250.0, 'rem', 3540.0), (25440.0, 'bpm_2', 15420.0), (26460.0, 'bpm_3', 18780.0), (26790.0, 'wake', 240.0), (27030.0, 'light', 1860.0), (28890.0, 'rem', 1080.0), (29520.0, 'distance_2', 9900.0), (29520.0, 'steps_2', 9900.0), (29820.0, 'bpm_4', 41520.0), (29940.0, 'calories_2', 21240.0), (29970.0, 'wake', 390.0), (30000.0, 'calories_3', 19500.0), (30360.0, 'light', 300.0), (30660.0, 'wake', 360.0), (31020.0, 'light', 960.0), (31980.0, 'SleepScore', 80.0), (32040.0, 'bpm_1', 9600.0), (34200.0, 'calories_1', 17100.0), (41400.0, 'distance_2', 13800.0), (41400.0, 'steps_2', 13800.0), (42097.0, 'Walk', 2612000.0), (45120.0, 'bpm_2', 26580.0), (45720.0, 'bpm_3', 14220.0), (47340.0, 'bpm_1', 4020.0), (48190.0, 'Walk', 1997000.0), (50640.0, 'distance_1', 21360.0), (50640.0, 'steps_1', 21360.0), (51360.0, 'calories_3', 20580.0), (52294.0, 'Weights', 2319000.0), (56580.0, 'distance_2', 14700.0), (56580.0, 'steps_2', 14700.0), (58380.0, 'calories_2', 13620.0), (60060.0, 'bpm_3', 11940.0), (60360.0, 'calories_1', 9900.0), (61020.0, 'bpm_1', 0.0)]",3
"[(0.0, 'calories_1', 35700.0), (0.0, 'bpm_2', 15360.0), (120.0, 'bpm_1', 21720.0), (270.0, 'light', 960.0), (1230.0, 'rem', 270.0), (1500.0, 'light', 1410.0), (1620.0, 'calories_2', 4380.0), (2400.0, 'distance_1', 20280.0), (2400.0, 'steps_1', 20220.0), (2910.0, 'deep', 600.0), (3510.0, 'light', 1650.0), (5160.0, 'rem', 1830.0), (6990.0, 'light', 1530.0), (8520.0, 'deep', 1710.0), (10230.0, 'light', 360.0), (10590.0, 'rem', 1020.0), (11610.0, 'light', 690.0), (12300.0, 'wake', 300.0), (12600.0, 'light', 3930.0), (15240.0, 'bpm_3', 23280.0), (16530.0, 'rem', 990.0), (17520.0, 'light', 390.0), (17760.0, 'calories_2', 19320.0), (17910.0, 'rem', 360.0), (18270.0, 'wake', 870.0), (19140.0, 'rem', 1800.0), (20940.0, 'light', 1830.0), (21840.0, 'distance_2', 4860.0), (21840.0, 'steps_2', 4860.0), (21900.0, 'bpm_2', 23040.0), (22080.0, 'bpm_4', 4680.0), (22680.0, 'steps_1', 33300.0), (22740.0, 'distance_1', 33300.0), (22770.0, 'wake', 780.0), (23550.0, 'SleepScore', 79.0), (24870.0, 'Walk', 922000.0), (25380.0, 'calories_3', 8700.0), (27480.0, 'bpm_1', 11880.0), (33060.0, 'distance_2', 18960.0), (33060.0, 'steps_2', 18960.0), (33240.0, 'bpm_4', 19740.0), (35880.0, 'calories_1', 29160.0), (36660.0, 'calories_3', 12540.0), (38160.0, 'calories_2', 17280.0), (38580.0, 'bpm_3', 19260.0), (42480.0, 'bpm_1', 9000.0), (46200.0, 'bpm_2', 25800.0), (52380.0, 'distance_2', 19200.0), (52380.0, 'steps_2', 19200.0), (53040.0, 'bpm_4', 18420.0), (53339.0, 'Walk', 1587000.0), (55200.0, 'calories_3', 16800.0), (56040.0, 'steps_1', 15840.0), (56100.0, 'distance_1', 15780.0), (57960.0, 'bpm_3', 13980.0), (59100.0, 'calories_2', 12780.0), (59100.0, 'bpm_1', 8820.0), (62381.0, 'Run', 4861000.0)]",0
"[(0.0, 'calories_1', 36900.0), (0.0, 'bpm_1', 19740.0), (60.0, 'bpm_2', 17220.0), (780.0, 'rem', 1110.0), (1320.0, 'calories_2', 20760.0), (1890.0, 'light', 2160.0), (2280.0, 'distance_1', 69660.0), (2280.0, 'steps_1', 42540.0), (4050.0, 'deep', 270.0), (4320.0, 'light', 1560.0), (5880.0, 'wake', 420.0), (6300.0, 'light', 150.0), (6450.0, 'rem', 300.0), (6750.0, 'wake', 240.0), (6990.0, 'light', 240.0), (7230.0, 'rem', 330.0), (7560.0, 'light', 4890.0), (10260.0, 'bpm_3', 34020.0), (12450.0, 'wake', 300.0), (12750.0, 'light', 540.0), (13290.0, 'rem', 120.0), (13410.0, 'SleepScore', 59.0), (13500.0, 'bpm_4', 26100.0), (17160.0, 'calories_3', 25020.0), (17340.0, 'bpm_2', 24840.0), (18000.0, 'restless', 60.0), (18060.0, 'asleep', 540.0), (18600.0, 'restless', 240.0), (18840.0, 'asleep', 600.0), (19440.0, 'restless', 60.0), (19500.0, 'asleep', 2280.0), (19800.0, 'bpm_1', 18120.0), (21780.0, 'restless', 60.0), (21840.0, 'distance_2', 14220.0), (21840.0, 'steps_2', 14160.0), (21840.0, 'asleep', 480.0), (22320.0, 'restless', 60.0), (22380.0, 'asleep', 1800.0), (24180.0, 'calories_2', 23760.0), (24180.0, 'restless', 120.0), (24300.0, 'asleep', 120.0), (24420.0, 'restless', 120.0), (24540.0, 'asleep', 360.0), (25104.0, 'Walk', 973000.0), (37200.0, 'calories_1', 32100.0), (38100.0, 'bpm_1', 12660.0), (39660.0, 'bpm_4', 18360.0), (42360.0, 'calories_3', 15960.0), (42960.0, 'bpm_2', 22920.0), (43260.0, 'distance_2', 15720.0), (43260.0, 'steps_2', 13320.0), (44807.0, 'Weights', 5053000.0), (45240.0, 'steps_1', 26700.0), (48180.0, 'bpm_3', 23820.0), (51720.0, 'calories_2', 17340.0), (52740.0, 'bpm_1', 5940.0), (53112.0, 'Walk', 2406000.0), (58380.0, 'calories_3', 13620.0), (59640.0, 'bpm_4', 12120.0), (63180.0, 'distance_2', 8400.0), (63180.0, 'steps_2', 8400.0), (63240.0, 'bpm_1', 8640.0), (66629.0, 'Walk', 3379000.0)]",0
"[(0.0, 'calories_2', 19800.0), (0.0, 'bpm_1', 22740.0), (60.0, 'calories_1', 7680.0), (600.0, 'distance_1', 37620.0), (600.0, 'steps_1', 37680.0), (720.0, 'deep', 1680.0), (1080.0, 'bpm_2', 4680.0), (2400.0, 'light', 1920.0), (4320.0, 'rem', 450.0), (4770.0, 'wake', 450.0), (5220.0, 'light', 3600.0), (7800.0, 'calories_1', 13200.0), (8820.0, 'rem', 360.0), (9180.0, 'light', 330.0), (9510.0, 'wake', 900.0), (10200.0, 'bpm_2', 840.0), (10410.0, 'light', 3960.0), (11100.0, 'bpm_3', 10020.0), (14370.0, 'rem', 390.0), (14760.0, 'light', 4080.0), (16740.0, 'bpm_2', 4320.0), (18840.0, 'rem', 1140.0), (19980.0, 'light', 1050.0), (20760.0, 'distance_2', 13560.0), (20760.0, 'steps_2', 13560.0), (21030.0, 'wake', 390.0), (21060.0, 'calories_1', 13380.0), (21300.0, 'calories_3', 17520.0), (21300.0, 'bpm_4', 13380.0), (21420.0, 'light', 60.0), (21480.0, 'rem', 810.0), (22260.0, 'bpm_3', 17880.0), (22290.0, 'wake', 930.0), (23040.0, 'calories_2', 20220.0), (23220.0, 'light', 300.0), (23520.0, 'wake', 420.0), (23940.0, 'SleepScore', 67.0), (26220.0, 'bpm_1', 26100.0), (30840.0, 'bpm_2', 240.0), (35640.0, 'distance_2', 11880.0), (35640.0, 'steps_2', 11880.0), (35640.0, 'bpm_4', 11640.0), (38160.0, 'bpm_2', 60.0), (38280.0, 'distance_1', 17760.0), (38460.0, 'steps_1', 17580.0), (39120.0, 'calories_3', 15000.0), (40080.0, 'calories_1', 3660.0), (43440.0, 'calories_2', 16440.0), (45120.0, 'bpm_3', 11160.0), (49740.0, 'bpm_4', 22260.0), (51900.0, 'distance_2', 12720.0), (51900.0, 'steps_2', 12720.0), (54420.0, 'calories_3', 17160.0), (55380.0, 'bpm_1', 16140.0), (56280.0, 'distance_1', 15720.0), (56280.0, 'steps_1', 15720.0), (56745.0, 'Run', 3610000.0), (57360.0, 'calories_1', 2460.0), (63587.0, 'Walk', 1126000.0), (66480.0, 'bpm_3', 2580.0), (69660.0, 'calories_2', 2340.0), (70320.0, 'calories_1', 0.0)]",1
"[(0.0, 'calories_1', 26700.0), (0.0, 'bpm_1', 0.0), (60.0, 'bpm_2', 21240.0), (540.0, 'calories_2', 19080.0), (690.0, 'light', 6270.0), (720.0, 'distance_1', 15300.0), (720.0, 'steps_1', 15300.0), (1620.0, 'bpm_3', 21840.0), (1680.0, 'bpm_4', 60.0), (5280.0, 'calories_3', 8580.0), (6960.0, 'deep', 1650.0), (8610.0, 'light', 120.0), (8730.0, 'rem', 2010.0), (10080.0, 'bpm_1', 24120.0), (10740.0, 'light', 5070.0), (15810.0, 'rem', 660.0), (16470.0, 'light', 540.0), (17010.0, 'rem', 300.0), (17310.0, 'light', 1470.0), (18780.0, 'deep', 360.0), (19140.0, 'light', 120.0), (19260.0, 'wake', 480.0), (19500.0, 'distance_1', 16440.0), (19500.0, 'steps_1', 16440.0), (19740.0, 'light', 630.0), (20370.0, 'wake', 390.0), (20760.0, 'light', 210.0), (20970.0, 'rem', 1320.0), (21660.0, 'distance_2', 5940.0), (21660.0, 'steps_2', 5940.0), (22020.0, 'bpm_2', 27000.0), (22290.0, 'light', 240.0), (22530.0, 'wake', 210.0), (22740.0, 'light', 150.0), (22890.0, 'wake', 540.0), (22920.0, 'bpm_4', 4740.0), (23100.0, 'calories_2', 28260.0), (23430.0, 'SleepScore', 69.0), (23520.0, 'bpm_3', 48480.0), (25080.0, 'calories_3', 9840.0), (25268.0, 'Walk', 922000.0), (27240.0, 'calories_1', 25560.0), (35880.0, 'bpm_1', 34620.0), (36000.0, 'distance_1', 15960.0), (36000.0, 'steps_1', 15960.0), (36600.0, 'calories_3', 13260.0), (38340.0, 'bpm_4', 60.0), (40920.0, 'distance_2', 22380.0), (40920.0, 'steps_2', 22380.0), (49680.0, 'bpm_4', 6780.0), (50700.0, 'calories_3', 20460.0), (51420.0, 'calories_2', 20280.0), (52149.0, 'Walk', 2509000.0), (54780.0, 'distance_1', 17220.0), (54780.0, 'steps_1', 17220.0), (55920.0, 'bpm_2', 16020.0), (59520.0, 'calories_1', 12480.0)]",1
